iterations,bucket0,magnetism0,bucket1,magnetism1,bucket2,magnetism2,bucket3,magnetism3,bucket4,magnetism4,bucket5,magnetism5,bucket6,magnetism6,bucket7,magnetism7,bucket8,magnetism8,bucket9,magnetism9
154,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,230,0.796296,628,0.787037,1363,0.787037,1479,0.805556
155,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,226,0.794753,624,0.785494,1355,0.785494,1471,0.804012
156,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,222,0.79321,616,0.783951,1351,0.783951,1467,0.802469
157,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,214,0.791667,612,0.782407,1343,0.782407,1459,0.800926
158,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,210,0.790123,612,0.780864,1335,0.780864,1451,0.799383
159,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,202,0.78858,604,0.779321,1327,0.779321,1451,0.800926
160,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,198,0.787037,596,0.777778,1323,0.777778,1443,0.799383
161,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,194,0.785494,592,0.776235,1315,0.776235,1439,0.79784
162,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,186,0.783951,588,0.774691,1307,0.774691,1435,0.796296
163,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,178,0.782407,596,0.776235,1299,0.773148,1427,0.794753
164,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,170,0.780864,588,0.774691,1295,0.771605,1419,0.79321
165,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,162,0.779321,584,0.773148,1303,0.773148,1411,0.791667
166,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.828704,158,0.777778,580,0.771605,1295,0.771605,1407,0.790123
167,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,5,0.830247,150,0.776235,580,0.773148,1291,0.770062,1399,0.78858
168,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,5,0.830247,142,0.774691,576,0.771605,1283,0.768519,1391,0.787037
169,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,5,0.830247,134,0.773148,568,0.770062,1275,0.766975,1383,0.785494
170,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,9,0.83179,126,0.771605,560,0.768519,1271,0.765432,1383,0.783951
171,2,0.967593,0,0.959877,10,0.935185,0,0.910494,0,0.873457,1,0.830247,118,0.770062,560,0.766975,1279,0.766975,1375,0.782407
172,2,0.967593,0,0.959877,2,0.933642,8,0.912037,0,0.873457,1,0.830247,114,0.768519,552,0.765432,1275,0.765432,1367,0.780864
173,2,0.967593,0,0.959877,2,0.933642,0,0.910494,0,0.873457,1,0.830247,106,0.766975,548,0.763889,1267,0.763889,1371,0.782407
